# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-01-27 12:52:25 -05:00	(nadww02)
#
# Data-value grade codes included in this output:
#    0    Undefined
#    91    IV verification DV <= 1 percent diff
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07381695 GIWW AT CYPREMORT, LA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 07381695
#    TS_ID       Parameter Description
#    221887      00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	tz_cd	221887_00060	221887_00060_cd
5s	15s	20d	6s	14n	10s
USGS	07381695	1997-10-01 00:00	CDT	-2750	A:[91]
USGS	07381695	1997-10-01 00:15	CDT	-1910	A:[91]
USGS	07381695	1997-10-01 00:30	CDT	-1700	A:[91]
USGS	07381695	1997-10-01 00:45	CDT	-1500	A:[91]
USGS	07381695	1997-10-01 01:00	CDT	-1300	A:[91]
USGS	07381695	1997-10-01 01:15	CDT	-1100	A:[91]
USGS	07381695	1997-10-01 01:30	CDT	-548	A:[91]
USGS	07381695	1997-10-01 01:45	CDT	-897	A:[91]
USGS	07381695	1997-10-01 02:00	CDT	-1040	A:[91]
USGS	07381695	1997-10-01 02:15	CDT	-697	A:[91]
USGS	07381695	1997-10-01 02:30	CDT	-100	A:[91]
USGS	07381695	1997-10-01 02:45	CDT	551	A:[91]
USGS	07381695	1997-10-01 03:00	CDT	1010	A:[91]
USGS	07381695	1997-10-01 03:15	CDT	559	A:[91]
USGS	07381695	1997-10-01 03:30	CDT	1380	A:[91]
USGS	07381695	1997-10-01 03:45	CDT	2140	A:[91]
USGS	07381695	1997-10-01 04:00	CDT	2720	A:[91]
