# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-01-27 13:01:18 -05:00	(nadww02)
#
# Data-value grade codes included in this output:
#    0    Undefined
#    91    IV verification DV <= 1 percent diff
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08012285 BAYOU QUEUE DE TORTUE NEAR INDIAN BAYOU,LA.
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 08012285
#    TS_ID       Parameter Description
#    221892      00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	tz_cd	221892_00060	221892_00060_cd
5s	15s	20d	6s	14n	10s
USGS	08012285	1997-02-06 00:00	CST	88.0	A:[91]
USGS	08012285	1997-02-06 00:15	CST	78.0	A:[91]
USGS	08012285	1997-02-06 00:30	CST	98.0	A:[91]
USGS	08012285	1997-02-06 00:45	CST	83.0	A:[91]
USGS	08012285	1997-02-06 01:00	CST	88.0	A:[91]
USGS	08012285	1997-02-06 01:15	CST	83.0	A:[91]
USGS	08012285	1997-02-06 01:30	CST	78.0	A:[91]
USGS	08012285	1997-02-06 01:45	CST	83.0	A:[91]
USGS	08012285	1997-02-06 02:00	CST	78.0	A:[91]
USGS	08012285	1997-02-06 02:15	CST	68.0	A:[91]
USGS	08012285	1997-02-06 02:30	CST	83.0	A:[91]
USGS	08012285	1997-02-06 02:45	CST	78.0	A:[91]
USGS	08012285	1997-02-06 03:00	CST	73.0	A:[91]
USGS	08012285	1997-02-06 03:15	CST	92.0	A:[91]
USGS	08012285	1997-02-06 03:30	CST	77.0	A:[91]
USGS	08012285	1997-02-06 03:45	CST	68.0	A:[91]
USGS	08012285	1997-02-06 04:00	CST	68.0	A:[91]
USGS	08012285	1997-02-06 04:15	CST	68.0	A:[91]
USGS	08012285	1997-02-06 04:30	CST	77.0	A:[91]
USGS	08012285	1997-02-06 04:45	CST	63.0	A:[91]
USGS	08012285	1997-02-06 05:00	CST	67.0	A:[91]
USGS	08012285	1997-02-06 05:15	CST	63.0	A:[91]
USGS	08012285	1997-02-06 05:30	CST	63.0	A:[91]
USGS	08012285	1997-02-06 05:45	CST	53.0	A:[91]
USGS	08012285	1997-02-06 06:00	CST	58.0	A:[91]
USGS	08012285	1997-02-06 06:15	CST	58.0	A:[91]
USGS	08012285	1997-02-06 06:30	CST	62.0	A:[91]
USGS	08012285	1997-02-06 06:45	CST	57.0	A:[91]
USGS	08012285	1997-02-06 07:00	CST	62.0	A:[91]
USGS	08012285	1997-02-06 07:15	CST	53.0	A:[91]
USGS	08012285	1997-02-06 07:30	CST	48.0	A:[91]
USGS	08012285	1997-02-06 07:45	CST	52.0	A:[91]
USGS	08012285	1997-02-06 08:00	CST	62.0	A:[91]
USGS	08012285	1997-02-06 08:15	CST	57.0	A:[91]
USGS	08012285	1997-02-06 08:30	CST	47.0	A:[91]
USGS	08012285	1997-02-06 08:45	CST	57.0	A:[91]
USGS	08012285	1997-02-06 09:00	CST	52.0	A:[91]
USGS	08012285	1997-02-06 09:15	CST	57.0	A:[91]
USGS	08012285	1997-02-06 09:30	CST	57.0	A:[91]
USGS	08012285	1997-02-06 09:45	CST	61.0	A:[91]
USGS	08012285	1997-02-06 10:00	CST	52.0	A:[91]
USGS	08012285	1997-02-06 10:15	CST	56.0	A:[91]
USGS	08012285	1997-02-06 10:30	CST	56.0	A:[91]
USGS	08012285	1997-02-06 10:45	CST	61.0	A:[91]
USGS	08012285	1997-02-06 11:00	CST	52.0	A:[91]
USGS	08012285	1997-02-06 11:15	CST	56.0	A:[91]
USGS	08012285	1997-02-06 11:30	CST	61.0	A:[91]
USGS	08012285	1997-02-06 11:45	CST	56.0	A:[91]
USGS	08012285	1997-02-06 12:00	CST	56.0	A:[91]
USGS	08012285	1997-02-06 12:15	CST	51.0	A:[91]
USGS	08012285	1997-02-06 12:30	CST	51.0	A:[91]
USGS	08012285	1997-02-06 12:45	CST	61.0	A:[91]
USGS	08012285	1997-02-06 13:00	CST	51.0	A:[91]
USGS	08012285	1997-02-06 13:15	CST	56.0	A:[91]
USGS	08012285	1997-02-06 13:30	CST	51.0	A:[91]
USGS	08012285	1997-02-06 13:45	CST	51.0	A:[91]
USGS	08012285	1997-02-06 14:00	CST	51.0	A:[91]
USGS	08012285	1997-02-06 14:15	CST	56.0	A:[91]
USGS	08012285	1997-02-06 14:30	CST	42.0	A:[91]
USGS	08012285	1997-02-06 14:45	CST	46.0	A:[91]
USGS	08012285	1997-02-06 15:00	CST	55.0	A:[91]
USGS	08012285	1997-02-06 15:15	CST	42.0	A:[91]
USGS	08012285	1997-02-06 15:30	CST	46.0	A:[91]
USGS	08012285	1997-02-06 15:45	CST	46.0	A:[91]
USGS	08012285	1997-02-06 16:00	CST	46.0	A:[91]
USGS	08012285	1997-02-06 16:15	CST	37.0	A:[91]
USGS	08012285	1997-02-06 16:30	CST	46.0	A:[91]
USGS	08012285	1997-02-06 16:45	CST	32.0	A:[91]
USGS	08012285	1997-02-06 17:00	CST	37.0	A:[91]
USGS	08012285	1997-02-06 17:15	CST	32.0	A:[91]
USGS	08012285	1997-02-06 17:30	CST	37.0	A:[91]
USGS	08012285	1997-02-06 17:45	CST	32.0	A:[91]
USGS	08012285	1997-02-06 18:00	CST	37.0	A:[91]
USGS	08012285	1997-02-06 18:15	CST	27.0	A:[91]
USGS	08012285	1997-02-06 18:30	CST	27.0	A:[91]
USGS	08012285	1997-02-06 18:45	CST	32.0	A:[91]
USGS	08012285	1997-02-06 19:00	CST	27.0	A:[91]
USGS	08012285	1997-02-06 19:15	CST	32.0	A:[91]
USGS	08012285	1997-02-06 19:30	CST	36.0	A:[91]
USGS	08012285	1997-02-06 19:45	CST	27.0	A:[91]
USGS	08012285	1997-02-06 20:00	CST	23.0	A:[91]
USGS	08012285	1997-02-06 20:15	CST	18.0	A:[91]
USGS	08012285	1997-02-06 20:30	CST	27.0	A:[91]
USGS	08012285	1997-02-06 20:45	CST	23.0	A:[91]
USGS	08012285	1997-02-06 21:00	CST	27.0	A:[91]
USGS	08012285	1997-02-06 21:15	CST	23.0	A:[91]
USGS	08012285	1997-02-06 21:30	CST	27.0	A:[91]
USGS	08012285	1997-02-06 21:45	CST	27.0	A:[91]
USGS	08012285	1997-02-06 22:00	CST	23.0	A:[91]
USGS	08012285	1997-02-06 22:15	CST	27.0	A:[91]
USGS	08012285	1997-02-06 22:30	CST	36.0	A:[91]
USGS	08012285	1997-02-06 22:45	CST	27.0	A:[91]
USGS	08012285	1997-02-06 23:00	CST	27.0	A:[91]
USGS	08012285	1997-02-06 23:15	CST	22.0	A:[91]
USGS	08012285	1997-02-06 23:30	CST	31.0	A:[91]
USGS	08012285	1997-02-06 23:45	CST	22.0	A:[91]
