# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-01-27 13:01:21 -05:00	(nadww02)
#
# Data-value grade codes included in this output:
#    0    Undefined
#    91    IV verification DV <= 1 percent diff
#    92    IV verification DV <= 5 percent diff
#    93    IV verification DV <= 10 percent diff
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08012300 BYU QUEUE DE TORTUE @ RICEVILLE, LA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 08012300
#    TS_ID       Parameter Description
#    221893      00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	tz_cd	221893_00060	221893_00060_cd
5s	15s	20d	6s	14n	10s
USGS	08012300	1999-04-01 00:15	CST	206	A:[92]
USGS	08012300	1999-04-01 00:30	CST	190	A:[92]
USGS	08012300	1999-04-01 00:45	CST	206	A:[92]
USGS	08012300	1999-04-01 01:00	CST	190	A:[92]
USGS	08012300	1999-04-01 01:15	CST	173	A:[92]
USGS	08012300	1999-04-01 01:30	CST	223	A:[92]
USGS	08012300	1999-04-01 01:45	CST	190	A:[92]
USGS	08012300	1999-04-01 02:00	CST	190	A:[92]
USGS	08012300	1999-04-01 02:15	CST	190	A:[92]
USGS	08012300	1999-04-01 02:30	CST	206	A:[92]
USGS	08012300	1999-04-01 02:45	CST	206	A:[92]
USGS	08012300	1999-04-01 03:00	CST	206	A:[92]
USGS	08012300	1999-04-01 03:15	CST	206	A:[92]
USGS	08012300	1999-04-01 03:30	CST	206	A:[92]
USGS	08012300	1999-04-01 03:45	CST	239	A:[92]
USGS	08012300	1999-04-01 04:00	CST	190	A:[92]
USGS	08012300	1999-04-01 04:15	CST	173	A:[92]
USGS	08012300	1999-04-01 04:30	CST	190	A:[92]
USGS	08012300	1999-04-01 04:45	CST	173	A:[92]
USGS	08012300	1999-04-01 05:00	CST	206	A:[92]
USGS	08012300	1999-04-01 05:15	CST	206	A:[92]
USGS	08012300	1999-04-01 05:30	CST	190	A:[92]
USGS	08012300	1999-04-01 05:45	CST	190	A:[92]
USGS	08012300	1999-04-01 06:00	CST	206	A:[92]
USGS	08012300	1999-04-01 06:15	CST	206	A:[92]
USGS	08012300	1999-04-01 06:30	CST	173	A:[92]
USGS	08012300	1999-04-01 06:45	CST	190	A:[92]
USGS	08012300	1999-04-01 07:00	CST	206	A:[92]
USGS	08012300	1999-04-01 07:15	CST	189	A:[92]
